Team Number,Matches Played,No-Show,Auto-Amp,Auto-Speaker,leave,AutoScore,Teleop-Amp,Teleop-Speaker,Amplification,TeleopScoreUnamplified,TeleopScoreAmplified,TeleopScoreAveraged,Teleop-Trap,Park,Climbed,Spotlit,Unamplified Score,Amplified Score,AverageScore
45,12,0,0,15,11,97,5,72,1,172,403,287.5,0,0,5,3,269,500,32.04166667
71,12,0,0,6,9,48,0,57,6,119,290,204.5,0,5,0,1,167,338,21.04166667
292,12,0,0,23,8,131,7,71,7,155,389,272,0,4,0,0,286,520,33.58333333
447,12,0,0,3,4,23,1,15,2,63,111,87,0,2,8,1,86,134,9.166666667
1018,12,1,0,4,0,20,5,17,6,60,126,93,0,2,5,0,80,146,9.416666667
1024,12,0,0,17,9,103,13,58,7,149,362,255.5,1,3,4,1,252,465,29.875
1555,12,1,0,3,8,31,0,44,5,98,230,164,0,6,0,0,129,261,16.25
1646,12,0,0,8,8,56,2,48,4,122,272,197,0,3,5,0,178,328,21.08333333
1720,12,0,0,6,6,42,2,26,3,72,156,114,0,1,5,1,114,198,13
1741,12,0,0,19,9,113,2,44,0,112,250,181,0,0,6,1,225,363,24.5
2171,12,0,0,0,10,20,16,5,3,39,102,70.5,0,7,2,0,59,122,7.541666667
3147,12,0,1,9,10,67,19,25,6,91,223,157,0,2,4,3,158,290,18.66666667
3487,12,0,4,1,3,19,9,51,8,117,297,207,0,6,0,6,136,316,18.83333333
3494,12,0,9,0,7,32,52,0,13,86,242,164,2,3,5,0,118,274,16.33333333
3559,12,0,0,1,1,7,0,12,2,37,73,55,0,4,3,0,44,80,5.166666667
4272,12,0,1,17,7,101,63,39,15,142,448,295,0,1,0,0,243,549,33
4580,12,0,1,4,1,24,6,20,3,55,133,94,0,5,0,1,79,157,9.833333333
4926,12,0,0,9,5,55,4,27,2,67,160,113.5,0,4,1,1,122,215,14.04166667
4982,12,0,0,18,4,98,38,3,7,76,199,137.5,0,3,5,2,174,297,19.625
5010,12,0,0,19,6,107,43,46,13,159,426,292.5,0,1,5,1,266,533,33.29166667
5188,12,0,0,9,7,59,1,36,0,80,191,135.5,0,7,0,0,139,250,16.20833333
6498,12,0,0,15,6,87,17,20,7,81,192,136.5,0,2,4,0,168,279,18.625
7198,12,0,0,6,6,42,0,6,3,25,43,34,0,0,3,0,67,85,6.333333333
7454,12,0,0,7,6,47,20,26,6,90,228,159,0,3,3,1,137,275,17.16666667
7457,12,0,0,31,8,171,17,23,9,94,214,154,3,2,4,1,265,385,27.08333333
7617,12,0,1,5,3,33,24,17,10,67,190,128.5,0,4,1,1,100,223,13.45833333
7657,12,0,0,16,3,86,1,10,1,29,62,45.5,0,3,1,3,115,148,10.95833333
8103,12,0,0,11,5,65,1,51,1,115,271,193,0,2,2,0,180,336,21.5
8116,12,2,0,1,1,7,0,20,5,51,111,81,0,4,1,2,58,118,7.333333333
8430,12,0,0,0,5,10,40,1,3,50,173,111.5,0,5,1,1,60,183,10.125
8564,12,0,0,3,0,15,2,8,3,39,69,54,0,2,3,1,54,84,5.75
8742,12,0,0,7,5,45,1,10,1,38,71,54.5,0,1,4,1,83,116,8.291666667
9453,12,0,0,0,3,6,0,3,0,9,18,13.5,0,3,0,0,15,24,1.625
9491,12,0,0,0,10,20,3,9,6,38,74,56,0,2,5,2,58,94,6.333333333
