Team Number,Matches Played,No-Show,Auto-Amp,Auto-Speaker,leave,AutoScore,Teleop-Amp,Teleop-Speaker,Amplification,TeleopScoreUnamplified,TeleopScoreAmplified,TeleopScoreAveraged,Teleop-Trap,Park,Climbed,Spotlit,Unamplified Score,Amplified Score,AverageScore
45,12,0,0,5,10,45,34,41,5,140,365,252.5,0,3,5,0,185,410,24.79166667
71,12,0,0,7,7,49,0,42,0,89,215,152,0,5,0,0,138,264,16.75
135,12,0,0,13,9,83,5,46,3,118,271,194.5,0,2,5,0,201,354,23.125
328,12,0,2,1,4,17,40,0,6,44,164,104,0,4,0,2,61,181,10.08333333
461,12,0,0,11,7,69,45,26,12,119,332,225.5,0,4,4,2,188,401,24.54166667
829,12,0,0,17,5,95,2,33,2,87,192,139.5,1,2,2,0,182,287,19.54166667
1024,12,0,0,13,9,83,23,26,9,106,253,179.5,2,3,4,1,189,336,21.875
1501,12,0,0,34,9,188,18,61,9,193,430,311.5,4,0,7,1,381,618,41.625
1555,12,0,0,0,3,6,0,48,1,110,254,182,0,9,1,0,116,260,15.66666667
1646,12,0,0,8,3,46,0,56,0,141,309,225,0,1,6,0,187,355,22.58333333
2171,12,0,0,0,2,4,17,1,3,25,79,52,0,6,0,1,29,83,4.666666667
2197,12,0,2,10,5,64,1,51,0,119,275,197,0,3,3,1,183,339,21.75
2867,12,0,0,2,7,24,13,12,2,60,135,97.5,0,1,4,0,84,159,10.125
2909,12,0,0,0,1,2,0,3,0,11,20,15.5,0,5,0,0,13,22,1.458333333
3147,12,0,0,9,0,45,13,32,2,81,216,148.5,0,4,0,0,126,261,16.125
3176,12,0,0,22,6,122,1,63,1,145,337,241,0,2,4,0,267,459,30.25
3865,12,0,1,0,5,12,4,4,4,19,43,31,0,4,1,0,31,55,3.583333333
3936,12,0,0,2,5,20,5,6,5,30,63,46.5,0,6,1,0,50,83,5.541666667
3940,12,0,0,17,8,101,3,56,4,160,337,248.5,3,2,4,1,261,438,29.125
4272,12,0,1,12,8,78,59,33,13,134,410,272,0,3,0,1,212,488,29.16666667
5402,12,0,2,13,7,83,16,38,4,123,285,204,0,1,8,3,206,368,23.91666667
5484,12,0,0,7,5,45,0,46,2,99,237,168,0,5,0,0,144,282,17.75
6721,12,0,1,6,6,44,3,34,4,88,199,143.5,0,0,3,2,132,243,15.625
6956,12,0,0,5,3,31,2,22,2,55,127,91,0,6,1,0,86,158,10.16666667
7198,12,0,0,2,8,26,6,8,3,40,82,61,0,8,2,1,66,108,7.25
7477,12,0,0,1,2,9,0,12,1,32,68,50,0,4,0,0,41,77,4.916666667
8103,12,0,0,13,5,75,1,48,3,128,275,201.5,0,1,8,0,203,350,23.04166667
9071,12,0,1,0,9,20,21,3,11,30,102,66,0,3,0,0,50,122,7.166666667
9119,12,0,2,0,4,12,9,0,1,19,46,32.5,0,4,2,0,31,58,3.708333333
9431,12,0,2,0,10,24,3,0,2,12,21,16.5,0,3,2,0,36,45,3.375
9530,12,0,0,1,1,7,3,3,2,21,39,30,0,5,1,0,28,46,3.083333333
9554,12,0,1,2,5,22,8,5,5,30,69,49.5,0,8,0,0,52,91,5.958333333
