Team Number,Matches Played,No-Show,Auto-Amp,Auto-Speaker,leave,AutoScore,Teleop-Amp,Teleop-Speaker,Amplification,TeleopScoreUnamplified,TeleopScoreAmplified,TeleopScoreAveraged,Teleop-Trap,Park,Climbed,Spotlit,Unamplified Score,Amplified Score,AverageScore
234,12,0,0,17,9,103,23,53,9,170,398,284,0,4,7,0,273,501,32.25
868,12,0,0,29,8,161,13,55,5,165,369,267,2,2,6,0,326,530,35.66666667
1501,12,0,2,28,9,162,32,39,5,197,410,303.5,10,3,8,1,359,572,38.79166667
1720,12,0,0,5,4,33,0,6,1,42,60,51,0,5,5,0,75,93,7
1747,12,0,0,11,8,71,9,50,7,157,334,245.5,0,0,10,0,228,405,26.375
2197,12,0,0,16,6,92,0,62,2,137,323,230,0,3,2,0,229,415,26.83333333
3176,12,0,0,42,9,228,33,22,5,119,284,201.5,0,3,7,1,347,512,35.79166667
3452,12,0,0,14,9,88,0,71,3,161,374,267.5,0,6,1,1,249,462,29.625
3559,12,0,0,0,11,22,3,0,1,20,29,24.5,0,4,3,0,42,51,3.875
3890,12,0,0,0,5,10,19,0,2,38,95,66.5,0,8,1,2,48,105,6.375
3947,12,0,0,0,0,0,0,25,2,68,143,105.5,0,0,4,1,68,143,8.791666667
4008,12,0,0,0,12,24,0,0,1,41,41,41,0,5,6,0,65,65,5.416666667
4485,12,0,0,5,5,35,0,24,3,64,136,100,0,7,1,0,99,171,11.25
4926,12,0,0,13,9,83,24,40,7,125,317,221,0,4,3,0,208,400,25.33333333
5188,12,0,0,21,6,117,0,71,3,149,362,255.5,0,7,0,1,266,479,31.04166667
5402,12,0,0,27,4,143,16,38,7,122,284,203,0,3,7,0,265,427,28.83333333
5484,12,0,0,18,8,106,0,65,3,140,335,237.5,0,8,0,1,246,441,28.625
6498,12,0,0,13,5,75,20,18,8,86,200,143,0,1,7,3,161,275,18.16666667
7454,12,0,0,9,4,53,25,17,8,111,237,174,0,1,9,1,164,290,18.91666667
7657,12,0,0,13,6,77,13,35,3,95,239,167,0,4,2,1,172,316,20.33333333
8116,12,0,0,4,3,26,0,47,7,131,272,201.5,0,3,8,3,157,298,18.95833333
8430,12,0,0,2,8,26,32,1,6,51,150,100.5,0,2,5,0,77,176,10.54166667
8564,12,0,0,11,2,59,0,29,2,73,160,116.5,0,4,3,0,132,219,14.625
9453,12,0,0,0,9,18,0,4,0,17,29,23,0,5,0,0,35,47,3.416666667
9491,12,0,0,4,9,38,12,6,1,46,100,73,0,1,5,0,84,138,9.25
9554,12,0,0,5,1,27,1,35,3,77,185,131,0,6,0,1,104,212,13.16666667
